,sentence_para,sentence_counter,word_para,word_counter,syllable_para,syllable_counter
0,3,5,49,110,84,179
1,3,4,55,104,99,185
2,3,5,48,95,84,164
3,4,6,72,107,141,195
4,3,5,65,97,105,156
5,3,4,52,87,84,147
6,3,4,48,91,79,152
7,4,5,73,96,133,151
8,4,6,86,118,118,181
9,3,5,62,105,123,191
10,3,4,67,94,102,159
11,3,5,56,104,94,170
12,1,5,33,122,58,216
13,4,5,77,113,142,192
14,4,4,86,78,138,130
15,4,5,67,102,114,177
16,3,4,74,78,131,146
17,3,5,69,99,122,162
18,5,5,89,78,157,138
19,2,5,34,98,57,181
20,4,5,75,106,133,182
21,3,5,59,104,98,187
22,4,5,76,91,124,150
23,4,4,74,99,142,171
24,4,5,81,107,152,192
25,1,6,31,105,55,187
26,3,5,58,105,103,190
27,3,4,59,88,118,172
28,2,4,53,97,103,188
29,4,5,70,104,128,166
30,4,5,80,97,141,173
31,3,4,52,90,84,151
32,3,5,74,105,118,167
33,4,5,67,91,105,148
34,4,5,85,93,139,177
35,3,5,52,104,107,205
36,3,4,85,88,158,146
37,4,4,72,90,128,146
38,2,5,37,103,67,192
39,4,5,80,85,145,143
40,4,5,67,107,112,193
41,3,3,63,58,119,99
42,4,5,61,110,108,166
43,3,7,62,131,115,212
44,3,5,76,88,165,165
45,5,5,83,99,150,175
46,5,5,68,111,118,190
47,3,4,70,87,120,148
48,3,6,70,124,132,205
49,3,5,63,102,109,171
50,2,5,42,88,74,174
51,3,4,68,74,130,144
52,4,4,72,105,133,198
53,4,5,65,103,107,192
54,4,4,78,89,135,144
55,3,6,58,102,112,174
56,3,5,63,108,99,189
57,2,4,41,66,61,109
58,3,4,61,90,114,147
59,3,4,59,85,87,131
60,4,5,81,111,137,174
61,3,5,68,108,128,178
62,3,5,61,116,100,203
63,3,6,68,127,112,207
64,4,4,76,105,141,207
65,2,5,50,87,75,142
66,2,6,42,113,66,204
67,3,6,67,114,121,181
68,3,4,60,94,120,185
69,2,5,43,94,67,181
70,2,6,37,118,54,198
71,4,5,66,87,137,145
72,3,4,75,81,127,126
73,4,5,98,102,178,194
74,3,5,60,119,98,195
75,3,6,68,115,119,197
